1,0
1,0
1,0
2,0
3,0
5,0
5,0
5,0
5,0
6,0
7,0
8,0
11,0
11,0
11,0
12,0
12,0
12,0
12,0
12,0
13,0
13,0
14,0
15,0
15,0
15,0
15,0
25,0
25,0
25,0
27,0
30,0
30,0
30,0
43,0
45,0
60,0
60,0
65,0
70,1
88,3
104,6
125,10
161,12
228,12
311,15
428,19
547,22
748,26
1018,31
1263,37
1668,43
2224,50
2898,60
3600,68
4507,91
5906,117
8350,162
12393,212
18012,277
24528,360
33073,458
43505,579
53938,785
68572,1054
85570,1353
102900,1770
123966,2300
142486,2718
163955,3368
188461,4304
215391,5325
245108,6541
277426,7932
312525,9488
338141,10856
369056,12382
399394,14616
431213,16701
465909,18821
499381,21084
531106,23168
558249,24849
584018,26613
610709,29318
640742,32070
672355,34418
703862,36707
732262,38659
757596,40179
784926,42016
810434,44688
839266,47059
873039,49228
909777,51360
944184,53326
970919,54580
994110,56022
1018741,58416
1045298,60930
1075637,63140
1109601,64902
1139075,66485
1165215,67816
1187176,68905
1210881,71139
1235366,73847
1263839,75805
1291482,77380
1316351,78834
1336668,79765
1354286,80747
1376585,82400
1397726,84168
1424687,85906
1450910,87499
1474569,88724
1493583,89568
1515403,90414
1536371,91934
1559435,93411
1585168,94722
1608961,96010
1631229,97060
1651260,97680
1670360,98190
1689248,98937
1707987,100422
1730457,101622
1755003,102812
1778401,103775
1799035,104379
1820929,105113
1841713,106195
1861694,107184
1883308,108192
1912001,109304
1934522,110032
1953138,110422
1971337,111144
1990137,112174
2013296,113103
2036496,113980
2061992,114758
2087327,115451
2106456,115768
2126570,116216
2151452,116985
2177104,117746
2205155,118473
2235995,119171
2268019,119717
2294413,119974
2324854,120334
2359899,121167
2396913,121934
2438069,124400
2483560,125033
2525920,125544
2565007,125814
2604906,126161
2653278,127461
2703212,128103
2758807,128826
2815374,129415
2866013,129679
2910780,129941
2958080,130332
3012210,131289
3071663,132237
3131549,133079
3199790,133907
3260565,134582
3318347,134977
3379859,135402
3445483,136356
3513850,137327
3589493,138284
3660324,139186
3722722,139961
3784920,140373
3844886,140904
